RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
157,Timothe Luwawu-Cabarrot,BKN,26,58,38,20,18.1,32.9,67.1,29.7,3.2,60.8,14.6,9.5,18.9,26.5,69.1,30.9,98.7,1.3,86.2,13.8
157,Tomas Satoransky,CHI,29,58,25,33,22.5,64.1,35.9,56.8,8.1,28.2,10.3,15,17,48.8,42.5,57.5,100,0,56.8,43.2
157,Tyrese Haliburton,SAC,21,58,25,33,30.1,52.2,47.8,45.4,11.2,48.2,14.2,6.4,16.2,34.3,32.2,67.8,78.5,21.5,51.4,48.6
157,Wesley Matthews,LAL,34,58,33,25,19.5,21.8,78.2,16.5,1.4,71,12.2,12.5,18.3,15.1,60.9,39.1,97,3,87.6,12.4
157,Zach LaVine,CHI,26,58,26,32,35.1,57.5,42.5,46.4,9.7,37.7,12.5,15.9,14,36.7,35.5,64.5,51.5,48.5,41.1,58.9
172,D.J. Augustin,HOU,33,57,28,29,19.8,36.7,63.3,23.7,5,56.8,10.3,19.5,15.1,18.7,21.2,78.8,71.1,28.9,51.9,48.1
172,Damion Lee,GSW,28,57,28,29,18.9,29.2,70.8,27.3,3.8,61.9,10.5,10.8,16.6,23.6,86.3,13.7,96.1,3.9,92.2,7.8
172,Davis Bertans,WAS,28,57,29,28,25.7,10.5,89.5,7.3,0.9,77.4,10.5,15.3,14.8,6.4,75,25,97,3,94.3,5.7
172,DeAndre Jordan,BKN,32,57,37,20,21.9,99.6,0.4,89.2,0,0,6.6,10.8,12,89.2,80,20,0,0,80,20
172,Marcus Morris Sr.,LAC,31,57,38,19,26.3,49.3,50.7,35.6,18.6,54.9,5.6,9.5,10.8,17,45.6,54.4,93.6,6.4,69.9,30.1
172,Rui Hachimura,WAS,23,57,29,28,31.5,78.9,21.1,67.2,17,17.1,17.5,15.7,17.7,50.2,74,26,100,0,77.7,22.3
172,Seth Curry,PHI,30,57,39,18,28.7,49.3,50.7,37.1,20,53.2,12.9,9.7,13.4,17.2,59.1,40.9,85.7,14.3,72.1,27.9
172,Thanasis Antetokounmpo,MIL,28,57,37,20,9.7,78.8,21.2,72.3,1.2,12.7,16.3,15,19.9,71.1,58.3,41.7,71.4,28.6,59.7,40.3
180,Garrett Temple,CHI,35,56,25,31,27.3,47.5,52.5,43,8.5,47.5,19.4,9.5,14.9,34.5,67,33,95.5,4.5,79.1,20.9
180,Kendrick Nunn,MIA,25,56,31,25,29.5,51.4,48.6,48.3,9.8,44.9,14,6.8,18.9,38.5,45.2,54.8,85.2,14.8,60.5,39.5
180,Malcolm Brogdon,IND,28,56,27,29,34.5,61.8,38.2,50.4,12.1,36.7,13.5,12.9,12.6,38.3,24.7,75.3,66.2,33.8,38.3,61.7
180,Mason Plumlee,DET,31,56,14,42,26.8,98.2,1.8,80.6,3.8,0,5.5,19.4,12.4,76.8,72.2,27.8,0,0,72.2,27.8
180,Pascal Siakam,TOR,27,56,21,35,35.8,74.4,25.6,60.9,8.2,18.3,10.8,20.8,14.2,52.7,34.1,65.9,83.6,16.4,42.3,57.7
180,Paul Millsap,DEN,36,56,38,18,20.8,64.3,35.7,56.6,4.4,29.3,8.6,14.1,11.6,52.2,61.3,38.7,98,2,70.7,29.3
180,Sekou Doumbouya,DET,20,56,15,41,15.5,59.2,40.8,56.8,0,27.4,16.8,15.8,17.5,56.8,66.7,33.3,100,0,74.8,25.2
180,Semi Ojeleye,BOS,26,56,28,28,17,28.5,71.5,23.8,2.3,66.9,11.9,9.3,14.2,21.5,61.3,38.7,98.3,1.7,85.4,14.6
180,Will Barton,DEN,30,56,37,19,31,57.7,42.3,45.3,8.2,41.4,13.2,13.3,13.2,37.1,48.4,51.6,74.5,25.5,58.3,41.7
189,Darius Bazley,OKC,21,55,16,39,31.2,58.6,41.4,50.4,4.2,33,10.9,16.6,15,46.2,50,50,83.1,16.9,60.1,39.9
189,Devonte' Graham,CHA,26,55,23,32,30.2,28.7,71.3,17.9,8.6,65.8,10.4,16.3,15.7,9.3,39.7,60.3,77.1,22.9,66.3,33.7
189,Furkan Korkmaz,PHI,23,55,39,16,19.3,36.6,63.4,27.5,6,60.5,14.8,12,18.4,21.6,44.9,55.1,94.1,5.9,74.1,25.9
189,Jeff Teague,MIL,33,55,27,28,17.3,71.1,28.9,46.9,3.8,29.1,11.1,24,12.9,43.1,16.1,83.9,63.9,36.1,30.1,69.9
189,Kelly Oubre Jr.,GSW,25,55,27,28,30.7,60.6,39.4,53.7,3.8,31.8,15.8,14.5,15.2,49.9,67.5,32.5,94.4,5.6,75.2,24.8
189,Lonzo Ball,NOP,23,55,23,32,31.8,35,65,29.4,7.2,64.3,16.3,6.3,13.8,22.2,41.5,58.5,83.7,16.3,66.6,33.4
189,Rodney Hood,TOR,28,55,29,26,17.1,56.5,43.5,48.8,23.6,41.5,6.9,9.7,17.9,25.2,30,70,79.4,20.6,47.9,52.1
196,Daniel Gafford,WAS,22,54,31,23,14.7,100,0,81.1,0.5,0,7.6,18.9,14.2,80.5,71.4,28.6,0,0,71.4,28.6
196,Darius Garland,CLE,21,54,18,36,33.1,66.8,33.2,54.6,8.5,33.5,11.2,11.9,15.2,46.1,30.7,69.3,70.5,29.5,42.3,57.7
196,Deni Avdija,WAS,20,54,25,29,23.3,46.2,53.8,45,4.1,46.5,13.2,8.5,19.9,40.9,72.7,27.3,96.2,3.8,82.3,17.7
196,Drew Eubanks,SAS,24,54,21,33,14,99,1,73.3,7.1,1.9,2.3,24.8,15.1,66.2,77.2,22.8,100,0,77.6,22.4
196,Jerami Grant,DET,27,54,15,39,33.9,64.7,35.3,47.3,12.4,28.6,7.1,24.1,13.9,34.9,53.7,46.3,93,7,65,35
196,Kira Lewis Jr.,NOP,20,54,23,31,16.7,64.4,35.6,52.5,1.2,35,20.1,12.5,19.8,51.3,37.8,62.2,80,20,50.8,49.2
196,Kyrie Irving,BKN,29,54,36,18,34.9,65.2,34.8,54.7,15.4,31.4,10.9,13.9,10.1,39.3,23.4,76.6,57.9,42.1,33,67
196,Miye Oni,UTA,23,54,45,9,9.6,11.1,88.9,9.5,0,85.7,9.5,4.8,13.3,9.5,60,40,100,0,94.3,5.7
196,Paul George,LAC,31,54,38,16,33.7,56.3,43.7,43.5,14.1,40.7,8.9,15.8,17.4,29.4,27.7,72.3,67.3,32.7,42.9,57.1
196,Tristan Thompson,BOS,30,54,27,27,23.8,99.1,0.9,82.6,1.5,0,3.4,17.4,12.2,81.2,54.4,45.6,0,0,54.4,45.6
196,Tyler Herro,MIA,21,54,29,25,30.3,57.5,42.5,49.1,15.5,39.4,11.2,11.5,15.2,33.6,46,54,72.9,27.1,55.4,44.6
196,Wendell Carter Jr.,ORL,22,54,21,33,25.5,88.8,11.2,71,9.2,7.4,4.3,21.6,13.2,61.7,76.7,23.3,93.3,6.7,77.8,22.2
208,Aron Baynes,TOR,34,53,20,33,18.5,66.1,33.9,66,6.8,25,2.8,9,12.3,59.3,73.8,26.2,100,0,79.1,20.9
208,Ben McLemore,LAL,28,53,20,33,17.1,23.3,76.7,18.7,4.4,71.7,13.8,9.6,17.5,14.3,81.6,18.4,95.9,4.1,91.9,8.1
208,Caleb Martin,CHA,25,53,23,30,15.4,51.2,48.8,49.2,10.6,35.2,20.5,15.6,16.7,38.6,60,40,87.1,12.9,68.8,31.3
208,Donovan Mitchell,UTA,24,53,39,14,33.4,57.7,42.3,42.8,10.8,38.1,8.4,19.1,10.8,32,15,85,50,50,28,72
208,Edmond Sumner,IND,25,53,23,30,16.2,68.8,31.2,56.6,1.5,26.3,30.8,17.1,22.1,55.1,69,31,94.3,5.7,75,25
208,Juan Toscano-Anderson,GSW,28,53,28,25,20.9,56,44,55.8,1.3,36.9,16.9,7.3,21.9,54.5,81,19,97.3,2.7,86,14
208,Willie Cauley-Stein,DAL,27,53,29,24,17.1,94,6,81.4,5,1.1,10.7,17.5,14.3,76.4,82.5,17.5,100,0,82.6,17.4
215,Cody Martin,CHA,25,52,26,26,16.3,69.1,30.9,64.7,5.8,23.2,18.8,12.1,24.6,58.9,59.7,40.3,87.5,12.5,65.1,34.9
215,De'Anthony Melton,MEM,23,52,27,25,20.1,46.3,53.7,36,4.2,55.3,21.4,8.7,14.6,31.8,41.2,58.8,79.3,20.7,60.5,39.5
215,Fred VanVleet,TOR,27,52,22,30,36.5,45.3,54.7,32.2,8,51.2,13.8,16.6,18.4,24.1,30.5,69.5,66.1,33.9,48.8,51.2
215,Hamidou Diallo,DET,22,52,18,34,23.6,82.6,17.4,64.9,7,13.9,14.1,21.2,16.2,57.9,43.4,56.6,96.4,3.6,50,50
215,Jimmy Butler,MIA,31,52,33,19,33.6,86.1,13.9,61.1,11.5,6.7,14.6,32.2,17.9,49.6,35.8,64.2,68,32,38,62
215,Juancho Hernangomez,MIN,25,52,19,33,17.3,43.8,56.2,40,0,44,8.3,16,15.7,40,74.7,25.3,98.2,1.8,84.6,15.4
215,Kawhi Leonard,LAC,30,52,36,16,34.1,72,28,56.3,15.8,23.5,8.8,20.2,17,40.6,28.6,71.4,71.3,28.7,37.8,62.2
215,Luguentz Dort,OKC,22,52,18,34,29.7,48.5,51.5,36.8,2.2,46.5,11.5,16.7,15.1,34.6,45.5,54.5,89.4,10.6,65.6,34.4
215,Marc Gasol,LAL,36,52,32,20,19.1,37.1,62.9,29,3.1,57.3,0,13.7,11.8,26,73.7,26.3,98,2,87.5,12.5
215,P.J. Tucker,MIL,36,52,27,25,26.1,32.8,67.2,26.9,2.1,62.2,8.3,10.9,15,24.9,80.8,19.2,100,0,92.4,7.6
215,Robert Williams III,BOS,23,52,29,23,18.9,99.2,0.8,89.2,3.8,0,9.1,10.8,16.3,85.4,73.7,26.3,0,0,73.7,26.3
226,Danilo Gallinari,ATL,32,51,29,22,24,46.5,53.5,30.5,14.5,45.7,3.3,23.8,8.6,16,51.5,48.5,93.2,6.8,72.3,27.7
226,DeAndre' Bembry,TOR,26,51,23,28,19.1,76.8,23.2,70.3,0.7,14.3,21.8,15.4,20.1,69.6,58.3,41.7,92.9,7.1,62.4,37.6
226,James Johnson,NOP,34,51,21,30,20.5,63.3,36.7,62.5,3.3,25.3,11.1,12.2,12,59.2,55.7,44.3,93.5,6.5,63.7,36.3
226,Joel Embiid,PHI,27,51,39,12,31.1,82.9,17.1,55.5,19.3,12,6.6,32.5,13.6,36.3,42.9,57.1,87.9,12.1,48.6,51.4
226,Jordan McLaughlin,MIN,25,51,15,36,18.4,62,38,52.3,3.1,38.7,25.4,9,24.6,49.2,37.3,62.7,90.9,9.1,55,45
226,Jordan Poole,GSW,22,51,28,23,19.4,41.8,58.2,35.3,5.2,47.5,10.6,17.2,11.6,30.1,61.1,38.9,89.7,10.3,74.6,25.4
226,LaMelo Ball,CHA,19,51,23,28,28.8,61.2,38.8,50.1,5.7,34.4,10.6,15.5,16.1,44.3,28.4,71.6,72.8,27.2,42.3,57.7
226,Lauri Markkanen,CHI,24,51,20,31,25.8,43.2,56.8,37.7,0.9,51.4,6.5,10.9,8.8,36.8,72.5,27.5,99.2,0.8,85.2,14.8
226,Mike Conley,UTA,33,51,37,14,29.4,47.7,52.3,35.3,5.3,50.1,8.2,14.6,12.7,30,25.3,74.7,59.4,40.6,41.9,58.1
226,Mike Scott,PHI,32,51,35,16,16.7,26.5,73.5,21.6,3.8,74.6,12.2,3.8,7.5,17.8,73.9,26.1,100,0,92.1,7.9
226,R.J. Hampton,ORL,20,51,20,31,17.4,72.2,27.8,61.6,11.9,22.9,24,15.5,18.1,49.7,35.8,64.2,92.6,7.4,47.1,52.9
226,Sterling Brown,HOU,26,51,14,37,24.1,35.8,64.2,28.4,1.4,65.6,11.8,6,17.5,26.9,54.2,45.8,91.2,8.8,76.7,23.3
238,Aaron Gordon,DEN,25,50,29,21,27.7,64.7,35.3,55.7,7.8,28.6,10.2,15.7,13.3,47.9,49.4,50.6,83.1,16.9,58,42
238,Dario Saric,PHX,27,50,37,13,17.4,60.5,39.5,48.5,2.7,32.3,4.8,19.2,12.8,45.8,73.6,26.4,100,0,81.7,18.3
238,Derrick Rose,NYK,32,50,28,22,25.6,78.9,21.1,64.6,18,20.4,8.7,15,12.1,46.6,22.8,77.2,86,14,33.8,66.2
238,Gabe Vincent,MIA,25,50,27,23,13.1,36.1,63.9,34.7,2.5,57,10.3,8.3,21.9,32.2,47.6,52.4,80.4,19.6,64.8,35.2
238,Goran Dragic,MIA,35,50,30,20,26.7,56,44,44.3,8.6,40.6,11.2,15.1,14.4,35.7,32.2,67.8,80.2,19.8,50.4,49.6
238,Grayson Allen,MEM,25,50,26,24,25.2,33.8,66.2,24.8,1.9,60.3,22.7,14.9,14.1,22.9,60.6,39.4,90.7,9.3,79.2,20.8
238,Karl-Anthony Towns,MIN,25,50,19,31,33.8,64,36,48.9,5.5,29.5,4.8,21.6,13.9,43.4,55.8,44.2,93.4,6.6,66.6,33.4
238,Maxi Kleber,DAL,29,50,31,19,26.8,22.9,77.1,16.4,4.5,73.9,4,9.7,15.9,11.9,79.3,20.7,100,0,94.8,5.2
238,Onyeka Okongwu,ATL,20,50,31,19,12,98,2,84.2,0.9,0,3.5,15.8,19.3,83.3,75,25,0,0,75,25
238,PJ Dozier,DEN,24,50,36,14,21.8,58,42,52.5,7.8,36.6,15.3,10.9,16.4,44.7,56.4,43.6,87.2,12.8,66.2,33.8
238,Torrey Craig,PHX,30,50,33,17,16.1,53.3,46.7,51.1,7.3,42.7,9.1,6.2,17.9,43.8,57.1,42.9,97.4,2.6,71.6,28.4
238,Yuta Watanabe,TOR,26,50,24,26,14.5,50,50,39.4,3.7,49.5,12.8,11.1,13.3,35.8,65.1,34.9,97.2,2.8,79.7,20.3
250,Alec Burks,NYK,29,49,27,22,25.6,50.8,49.2,34.7,10.9,49.1,5,16.2,13.5,23.8,42.6,57.4,68.6,31.4,55.2,44.8
251,Cody Zeller,CHA,28,48,21,27,20.9,91.4,8.6,78.5,1.3,2.7,10.9,18.8,18.2,77.2,75.1,24.9,100,0,75.7,24.3
251,Jamal Murray,DEN,24,48,31,17,35.5,60.1,39.9,48.9,18.1,38,12.6,13.1,20.7,30.8,33.3,66.7,58.1,41.9,41.8,58.2
251,Marcus Smart,BOS,27,48,24,24,32.9,44.7,55.3,35.1,7.7,44.5,7.8,20.4,14.4,27.4,29.1,70.9,87.1,12.9,55.7,44.3
251,Nassir Little,POR,21,48,27,21,13.3,52.1,47.9,45.5,5.5,38.2,11.8,16.3,8.6,40,56,44,82.1,17.9,65.4,34.6
251,Saben Lee,DET,22,48,14,34,16.3,89,11,68.2,2.2,9,15.4,22.8,25.5,65.9,35.2,64.8,100,0,40.4,59.6
256,Brandon Goodwin,ATL,25,47,25,22,13.2,53.8,46.2,45.6,4.4,42.1,17.5,12.3,16.2,41.2,26.9,73.1,68.8,31.3,42.9,57.1
256,CJ McCollum,POR,29,47,28,19,34,52.5,47.5,43.4,17.1,46.6,10.6,10,12.1,26.3,30.1,69.9,61.5,38.5,43.2,56.8
256,Caris LeVert,IND,26,47,24,23,31.6,68.3,31.7,58,9.7,26.6,15.2,15.4,17.2,48.3,37.5,62.5,56,44,41.8,58.2
256,Cole Anthony,ORL,21,47,13,34,27.1,68.8,31.2,53.2,13.6,28.8,8.9,18,11.6,39.7,11.2,88.8,62.1,37.9,24.7,75.3
256,Frank Kaminsky,PHX,28,47,33,14,15.2,66.9,33.1,58.1,3.9,30,3.2,11.9,9.4,54.2,76.7,23.3,100,0,82.6,17.4
256,Jalen McDaniels,CHA,23,47,18,29,19.2,63,37,56.6,2.3,30.3,9.8,13.1,16.8,54.3,63.3,36.7,100,0,72.9,27.1
256,Josh Hart,NOP,26,47,21,26,28.7,43.9,56.1,40.6,4.1,43.5,26,15.9,10.6,36.4,59.1,40.9,98.4,1.6,75.5,24.5
256,Malachi Flynn,TOR,23,47,21,26,19.7,50.6,49.4,41.4,9.1,45.9,12.5,12.7,16.1,32.3,8.2,91.8,72.2,27.8,35.4,64.6
256,Monte Morris,DEN,26,47,30,17,25.5,65.4,34.6,56.1,12.5,31.8,15.6,12.1,17.3,43.7,40,60,80.4,19.6,51.1,48.9
256,Myles Turner,IND,25,47,22,25,31,52.3,47.7,46.3,1.7,35,7.3,18.7,14.9,44.6,75.9,24.1,100,0,84,16
256,Tony Snell,ATL,29,47,29,18,21.1,36.3,63.7,20.9,6.4,74.7,9.6,4.4,8.8,14.5,65.4,34.6,98.4,1.6,88.6,11.4
256,Willy Hernangomez,NOP,27,47,20,27,18,96.3,3.7,82.2,1.6,0.8,7.4,17,9.9,80.5,66.7,33.3,100,0,66.9,33.1
268,Aaron Nesmith,BOS,21,46,22,24,14.5,39.3,60.7,34.9,4.6,55,8.3,10.1,14.7,30.3,44.7,55.3,100,0,73.1,26.9
268,Andre Drummond,LAL,27,46,19,27,27,98.6,1.4,82.1,0,0,7.4,17.9,16.7,82.1,57.1,42.9,0,0,57.1,42.9
268,Blake Griffin,BKN,32,46,24,22,25.8,50.1,49.9,41.2,1.6,41.6,3,17.2,12.3,39.6,50,50,75.7,24.3,60.3,39.7
268,Damyean Dotson,CLE,27,46,14,32,19.7,45.7,54.3,47.4,15.6,44.8,15.9,7.8,18.5,31.8,49.3,50.7,89.1,10.9,64.7,35.3
268,Isaiah Hartenstein,CLE,23,46,20,26,12.1,96.5,3.5,78,2.5,2.5,5.1,19.5,16.9,75.4,78.3,21.7,100,0,78.7,21.3
268,JaVale McGee,DEN,33,46,21,25,14.7,91.5,8.5,82.5,4.7,4.5,3.6,13,13.6,77.7,59,41,100,0,60.4,39.6
268,Kyle Lowry,TOR,35,46,15,31,34.8,44.5,55.5,32.6,8.1,49.7,16.6,17.7,14.8,24.5,34.9,65.1,68.7,31.3,51.9,48.1
268,Mo Bamba,ORL,23,46,11,35,15.8,60.8,39.2,56.7,7.1,31.1,4.9,12.2,9,49.6,57.7,42.3,100,0,69,31
268,Nickeil Alexander-Walker,NOP,22,46,20,26,21.9,52.2,47.8,45.7,9.1,44.9,10,9.4,15,36.6,34.5,65.5,92.1,7.9,57.3,42.7
268,Terrence Ross,ORL,30,46,16,30,29.3,57.1,42.9,46,24.8,37.2,7.8,16.8,12.4,21.2,48.5,51.5,77.5,22.5,58.7,41.3
268,Wayne Ellington,DET,33,46,13,33,22,18.6,81.4,14.9,5,78.7,11.8,6.4,11.8,10,75.8,24.2,95.7,4.3,91.3,8.7
279,Aleksej Pokusevski,OKC,19,45,13,32,24.2,49.3,50.7,44.1,12.5,47.4,7.4,8.5,11.2,31.6,43.2,56.8,91.4,8.6,63.3,36.7
279,Chuma Okeke,ORL,22,45,15,30,25.2,56.5,43.5,49.3,19.5,42.1,9.2,8.6,10.9,29.8,40.7,59.3,98,2,61.5,38.5
279,Goga Bitadze,IND,21,45,19,26,12.5,59.3,40.7,54.5,5.2,26,10,19.5,14.3,49.4,63.5,36.5,100,0,72.3,27.7
279,Jake Layman,MIN,27,45,12,33,13.9,57.6,42.4,58.9,2.6,29.9,17.3,11.2,22.5,56.3,76.5,23.5,100,0,82.4,17.6
279,Kenyon Martin Jr.,HOU,20,45,10,35,23.7,69.8,30.2,60.6,0,25.1,13.8,14.3,21.5,60.6,70.1,29.9,100,0,76.5,23.5
279,LeBron James,LAL,36,45,30,15,33.4,65.4,34.6,56.5,9.8,27.7,18,15.8,16,46.7,32.7,67.3,51.9,48.1,37.4,62.6
279,Matt Thomas,UTA,26,45,27,18,7.3,37,63,33.1,23,58.3,7.9,8.6,15.8,10.1,69.6,30.4,96.3,3.7,84,16
279,Moritz Wagner,ORL,24,45,19,26,16,60.3,39.7,47.1,1.3,30,4.5,22.9,13.9,45.8,86.3,13.7,96.8,3.2,89.4,10.6
279,Nicolo Melli,DAL,30,45,26,19,12.6,39.7,60.3,34.3,7.5,51.5,4.5,14.2,14.9,26.9,47.8,52.2,100,0,73.9,26.1
279,Rajon Rondo,LAC,35,45,28,17,17.1,58.6,41.4,48.8,5,44.6,9.5,6.6,15.7,43.8,13.6,86.4,63.9,36.1,32.6,67.4
279,Taj Gibson,NYK,36,45,29,16,20.8,90.5,9.5,79.7,7.5,3.7,1.7,16.6,10.8,72.2,60.4,39.6,100,0,61.6,38.4
290,Amir Coffey,LAC,24,44,32,12,9,45.6,54.4,31.4,2.9,49.3,12.9,19.3,15.7,28.6,63.6,36.4,87,13,75.6,24.4
290,Bogdan Bogdanovic,ATL,28,44,30,14,29.7,41.1,58.9,33.6,9.7,60.8,9.9,5.6,16.1,23.9,39.7,60.3,83.6,16.4,63.7,36.3
290,Gordon Hayward,CHA,31,44,24,20,34,68.8,31.2,52.4,13.4,29.5,14.5,18.1,15.3,38.9,60.6,39.4,87.1,12.9,67.8,32.2
290,Ish Smith,WAS,32,44,23,21,21,83.5,16.5,75.3,25.1,18.3,10.5,6.4,11.5,50.2,26.1,73.9,94.4,5.6,35.7,64.3
290,JJ Redick,DAL,37,44,22,22,16.4,33.3,66.7,24.5,20.2,60.6,14.4,14.9,19.6,4.3,77.5,22.5,93.9,6.1,87.7,12.3
290,James Harden,BKN,31,44,31,13,36.6,54.5,45.5,40.8,1.7,33.5,9.8,25.7,12.7,39.2,16.7,83.3,24.8,75.2,19.6,80.4
290,Ryan Arcidiacono,CHI,27,44,20,24,10.2,42.7,57.3,35.3,7.4,55.1,12.5,9.6,22.1,27.9,54.2,45.8,100,0,77.6,22.4
297,John Konchar,MEM,25,43,23,20,13.4,59.4,40.6,52.2,4.3,34.2,20.1,13.6,21.7,47.8,75,25,100,0,82.6,17.4
297,Kemba Walker,BOS,31,43,22,21,31.8,47.8,52.2,37.9,9.4,46,13,16.1,15.7,28.5,26.8,73.2,55.1,44.9,39.4,60.6
297,Kristaps Porzingis,DAL,25,43,26,17,30.9,62.2,37.8,52.7,12.3,33.6,5.9,13.7,8.8,40.5,71.1,28.9,96.9,3.1,78.8,21.2
297,Marvin Bagley III,SAC,22,43,20,23,25.9,78,22,69.1,2.6,18.3,10.2,12.6,11.8,66.4,62.4,37.6,91.9,8.1,66.8,33.2
297,Moses Brown,BOS,21,43,8,35,21.4,100,0,78.9,0,0,3.8,21.1,13.5,78.9,50.7,49.3,0,0,50.7,49.3
297,O.G. Anunoby,TOR,23,43,18,25,33.3,49.7,50.3,42.5,3.5,45.7,14.8,11.8,18.6,39,51,49,97.1,2.9,70.3,29.7
303,D'Angelo Russell,MIN,25,42,16,26,28.5,52.5,47.5,40.5,13.8,45.2,11.7,14.3,13.6,26.6,28.6,71.4,59.2,40.8,41.6,58.4
303,Evan Fournier,BOS,28,42,18,24,30,47.7,52.3,36.2,9.2,48.8,11.5,15,13.4,27,48.5,51.5,78.6,21.4,62.8,37.2
303,Jaylen Nowell,MIN,21,42,10,32,18.1,55.2,44.8,48.5,13.2,39.6,9,11.9,17.7,35.4,44.6,55.4,80,20,57,43
303,Kevin Knox II,NYK,21,42,26,16,11.1,37.8,62.2,25.8,4.9,64.4,14.1,9.8,16.6,20.9,81,19,100,0,92.9,7.1
303,Malik Monk,CHA,23,42,19,23,20.9,46.9,53.1,35.9,4.9,52,12.2,12.1,19,31,43.2,56.8,80,20,61.3,38.7
303,Tony Bradley,OKC,23,42,15,27,16.3,98.5,1.5,87.3,3.3,0,7,12.7,13.7,84,68.7,31.3,0,0,68.7,31.3
303,Zeke Nnaji,DEN,20,42,30,12,9.5,43.3,56.7,38.2,4.4,52.9,8.8,8.9,17.6,33.8,76.9,23.1,95.8,4.2,86,14
310,Chasson Randle,ORL,28,41,10,31,20.4,45.1,54.9,36.1,5.3,49.6,13.9,14.3,13.9,30.8,27.1,72.9,68.2,31.8,46.7,53.3
310,Christian Wood,HOU,25,41,12,29,32.3,67.8,32.2,58.6,4.9,26.9,7.7,14.5,13.6,53.7,68.7,31.3,87,13,72.9,27.1
310,DeMarcus Cousins,LAC,30,41,22,19,17.4,55.7,44.3,45.4,1.6,38.5,3.3,16.1,15.8,43.7,47,53,97.9,2.1,65.4,34.6
310,Isaiah Joe,PHI,21,41,22,19,9.3,20.3,79.7,11.8,9.2,76.5,7.2,11.7,15.7,2.6,55.6,44.4,100,0,91.7,8.3
310,James Ennis III,ORL,30,41,12,29,24.1,57.2,42.8,40.6,4.6,39.1,9.6,20.3,15.4,35.9,58.6,41.4,93.3,6.7,72.2,27.8
310,Javonte Green,CHI,27,41,19,22,11.6,70.6,29.4,58.9,5.5,20.5,18.5,20.6,26,53.4,46.5,53.5,100,0,56.6,43.4
310,Serge Ibaka,LAC,31,41,24,17,23.3,68.5,31.5,64.8,13.7,25.8,3.5,9.4,12.1,51.1,67.3,32.7,100,0,74.2,25.8
310,Taurean Prince,CLE,27,41,15,26,22.1,52.6,47.4,35.5,9.3,47.8,17.5,16.7,16.5,26.2,53.6,46.4,85.5,14.5,68.7,31.3
310,Vlatko Cancar,DEN,24,41,28,13,6.9,54.2,45.8,56.5,4.7,31.8,5.9,11.7,11.8,51.8,75,25,100,0,81.8,18.2
310,Wes Iwundu,NOP,26,41,17,24,13.1,59.8,40.2,58.6,2,15.2,34.3,26.2,13.1,56.6,82.8,17.2,100,0,85.3,14.7
320,Eric Paschall,GSW,24,40,20,20,17.4,81.9,18.1,68.2,19.9,14.2,8.1,17.6,16.5,48.3,56.2,43.8,94.4,5.6,60.8,39.2
320,Frank Jackson,DET,23,40,13,27,18.5,48.8,51.2,37.4,5.6,46.9,12.8,15.7,14.1,31.8,54.8,45.2,98.4,1.6,74.6,25.4
320,Isaac Bonga,WAS,21,40,16,24,10.8,42,58,43.6,0,50,14.1,6.4,14.1,43.6,52.9,47.1,100,0,73.3,26.7
320,John Wall,HOU,30,40,12,28,32.2,65.7,34.3,52,11.2,28.8,14.7,19.2,18.1,40.8,8.4,91.6,70.9,29.1,25.3,74.7
320,Lamar Stevens,CLE,23,40,13,27,12.5,81.6,18.4,70.3,15.8,7.3,11.5,22.4,24.2,54.5,65.5,34.5,100,0,67.7,32.3
320,Langston Galloway,PHX,29,40,29,11,10.9,42.2,57.8,31.6,16.8,56.8,8.9,11.6,12.1,14.7,80,20,100,0,90.9,9.1
326,Alfonzo McKinnie,LAL,28,39,22,17,6.6,58.1,41.9,52.5,4.9,39.3,4.9,8.2,23.8,47.5,59.4,40.6,93.8,6.3,70.8,29.2
326,Damian Jones,SAC,26,39,24,15,14,95.1,4.9,75.4,2.2,1.6,12,23,12,73.2,88.4,11.6,100,0,88.6,11.4
326,Gary Clark,PHI,26,39,12,27,16.8,18.2,81.8,15.1,0,78.2,5,6.7,16.8,15.1,66.7,33.3,100,0,92.5,7.5
326,Gary Harris,ORL,26,39,15,24,27.7,59.1,40.9,46.4,8.2,37.1,13.7,16.5,16.5,38.1,63.3,36.7,85.4,14.6,71,29
326,James Wiseman,GSW,20,39,18,21,21.4,89.7,10.3,79.9,12.1,8,11.8,12.1,16.3,67.9,82.7,17.3,83.3,16.7,82.7,17.3
326,Josh Green,DAL,20,39,20,19,11.4,73.1,26.9,75.2,5.9,11.9,25.7,12.9,27.7,69.3,65.8,34.2,100,0,69,31
326,Max Strus,MIA,25,39,14,25,13,20.9,79.1,29.7,0,63.6,13.6,6.7,16.1,29.7,68.6,31.4,98,2,85.9,14.1
326,Mfiondu Kabengele,CLE,23,39,20,19,7.2,43.8,56.2,42.1,2.1,41.1,4.2,16.8,14.7,40,50,50,92.3,7.7,66.7,33.3
326,Tyler Johnson,BKN,29,39,29,10,17.5,27.9,72.1,22.9,6.7,68.6,18.6,8.5,8.6,16.2,62.5,37.5,95.8,4.2,84.7,15.3
